Park Name,Park Location,Grass,Bin,Bench,Dog Tidy,Drink Fountain,Play Equipment,Toilet,Table,BBQ,Sharps
Broadview Oval,"26 Collingrove Ave, Broadview",Yes,1,Yes,3,Yes,Yes,Yes,Yes,1,2
A.J.Shard Reserve,"Cnr. California St & Howard St, Collinswood",Yes,1,Yes,1,No,No,No,No,0,0
Jack Rattley Reserve,"21 Harvey St, Collinswood",Yes,1,Yes,1,Yes,Yes,No,No,0,0
R.L. Pash Reserve,"31 Derlanger Ave, Collinswood",Yes,0,Yes,1,No,No,No,No,0,0
Prospect Gardens/ Narnu Wirra Reserve,"14 Buchanan St, Nailsworth",Yes,1,Yes,3,No,Yes,No,Yes,1,2
Main North Road/ Regency Road Reserve,"NW Cnr. Main North Rd & Regency Rd, Prospect",Yes,1,Yes,0,No,No,No,No,0,0
Main North Road/ Regency Road Reserve,"SW Cnr. Main North Rd & Regency Rd, Prospect",Yes,1,Yes,0,No,No,No,No,0,0
Matthews Reserve,"Cnr. Struan Ave & Moore St, Prospect",Yes,1,Yes,1,Yes,Yes,No,Yes,0,0
Peppermint Gums Reserve,"Cnr. Barker Rd & Dean St, Prospect",Yes,1,Yes,1,Yes,Yes,No,Yes,0,0
Percy Street Reserve,"65 Percy St, Prospect",Yes,1,Yes,1,No,Yes,No,No,0,0
St Johns Wood Gardens,"Cnr. Main North Rd & Alpha Rd, Prospect",No,1,Yes,0,No,No,No,No,0,0
Bradford Street Reserve,"Cnr. Bradford St & Wilson St, Prospect",No,1,No,0,No,No,No,No,0,0
Wilson Street Reserve,"Cnr. Wilson St & Highbury St, Prospect",Yes,0,Yes,0,No,No,No,No,0,0
Prospect Oval,"1 Menzies Cres, Prospect",Yes,1,Yes,2,No,No,Yes,No,1,2
St Helen's Park,"39 Prospect Rd, Prospect",Yes,5,Yes,2,Yes,Yes,Yes,Yes,2,4
George Whittle Reserve,"56 Churchill Rd, Prospect",Yes,1,Yes,1,Yes,Yes,Yes,Yes,1,2
W.T. Smith Reserve,"Cnr. Braund Rd & Gladstone Rd, Prospect",Yes,1,Yes,1,Yes,No,No,No,0,0
Braund Road Reserve,"Cnr. Braund Rd & Cochrane Tce, Fitzroy",Yes,1,Yes,1,Yes,Yes,No,Yes,0,0
Barker Gardens,"Cnr. Prospect Rd & Alpha Rd, Prospect",No,0,Yes,0,Yes,No,No,No,0,0
Charles Cane Reserve,"104 Churchill Rd, Prospect",Yes,1,Yes,2,Yes,No,No,No,0,2
Ern Sconce Rotary Park,"26 Alexandra St, Prospect",Yes,1,Yes,1,No,Yes,No,Yes,0,0
Irish Harp Reserve,"350 Regency Rd, Prospect",Yes,1,Yes,1,Yes,Yes,No,Yes,0,0
Railway Reserve,"370 Regency Rd, Prospect",No,0,No,0,No,No,No,No,0,0
Stan Watson Reserve,"95 Charles St, Prospect",Yes,1,Yes,1,No,Yes,No,No,0,0
Prospect Estate Reserve,"186 Prospect Rd, Prospect",Yes,1,Yes,2,Yes,Yes,No,Yes,2,2
