OBJECTID,Reserve,Function_,Current_Classification,Proposed_Classification,Colour,Colour_Code,Shape__Area,Shape__Length
1,Stockade Park,Natural Area,Dog on Leash,Dog on Leash,Orange,O,5.634178296e-06,0.010452811245741
2,EP Nazer Reserve,Conservation/Natural Area,Dog on Leash,Dog on Leash,Orange,O,6.611262173e-06,0.010866142678445
3,Roy Amer Reserve,Natural Area,N/A,Dog on Leash,Orange,O,5.256641319e-06,0.011964855219526
4,Regency Park Golf Course,Golf Course,Dog on Leash,Dog on Leash,Orange,O,2.9572927604e-05,0.025610709279286
5,Torrens Linear Park,Conservation/Natural Area,Dog on Leash,Dog on Leash,Orange,O,3.5416183891e-05,0.128788035648718
6,TK Shutter Reserve,,Dog on Leash,Dog on Leash,Orange,O,7.426099838e-06,0.011049106983229
7,Foreshore,Conservation,Dog on Leash : 10am to 8pm During Daylight Savings,Dog on Leash at certain times. (10am to 8pm During Daylight Savings),Orange,O,9.2784400366e-05,0.121773957199977
8,Harold Tyler Reserve,Greyhound Track,Dog on Leash,Dog on Leash,Orange,O,1.2311845423e-05,0.015467200014086
9,Thomas Turner Reserve,Conservation,Dog on Leash,Dog on Leash at certain times. (Weekends 8.30am to 6.30pm : Weekdays 4.30pm to 5.30pm),Orange,O,9.727332164e-06,0.018891305449319
10,Barker Inlet Wetlands,Conservation/Wetlands,Dogs Prohibited,Dogs Prohibited,Red,R,0.000120677293523,0.092625080579897
11,Magazine Creek Wetlands,Conservation/Wetlands,Dogs Prohibited,Dogs Prohibited,Red,R,3.5206916221e-05,0.033007400891253
12,Range Wetlands,Conservation/Wetlands,Dogs Prohibited,Dogs Prohibited,Red,R,1.4932758788e-05,0.02025316110761
13,Folland Park,Natural Area,Dogs Prohibited,Dogs Prohibited,Red,R,4.025638136e-06,0.008800277747757
14,Northgate Reserve,Natural Area,N/A,Dog on Leash,Orange,O,4.01005408e-06,0.013745232360429
15,RB Connolly Reserve,Conservation,N/A,Dog on Leash,Orange,O,2.251981861e-06,0.006603065242223
16,Coast Park,Linear Park/Conservation,N/A,Dog on Leash at certain times. (10am to 8pm During Daylight Savings),Orange,O,2.2418459495e-05,0.112979811849875
17,Walkley Heights Reserve,,Dog on Leash,Dog on Leash,Orange,O,1.161806766e-06,0.006829347754497
